time,no_of_downloads,daily_active_users,monthly_active_users,daily_time_spent_on_app (In Seconds),monthly_time_spent_on_app (In Seconds),App churn from 6th March (Firebase),App stickiness from 6th March ( % ) (Firebase)
6/3/2019,101,129,915,,,89.70%,
7/3/2019,124,160,1019,,,89.70%,
8/3/2019,68,114,1062,,,89.70%,
9/3/2019,20,55,1068,,,89.70%,
10/3/2019,7,28,1074,,,85.50%,
11/3/2019,41,76,1107,,,85.50%,
12/3/2019,59,97,1145,,,85.50%,
13/3/2019,53,91,1171,,,85.50%,
14/3/2019,79,121,1234,,,85.50%,
15/3/2019,85,131,1250,,,85.50%,
16/3/2019,41,84,1280,,,85.50%,
17/3/2019,44,88,1304,,,83%,
18/3/2019,87,131,1340,,,83.00%,
19/3/2019,112,177,1417,,,79.70%,
20/3/2019,89,177,1447,,,79.70%,
21/3/2019,38,86,1449,,,79.70%,
22/3/2019,52,107,1452,,,79.70%,
23/3/2019,48,103,1494,,,79.70%,
24/3/2019,47,81,1535,,,82.20%,
25/3/2019,105,168,1629,,,82.20%,
26/3/2019,91,148,1693,,,82.20%,
27/3/2019,69,145,1719,,,82.20%,
28/3/2019,65,125,1769,,,82.20%,
29/3/2019,78,138,1792,,,82.20%,
30/3/2019,28,74,1817,,,82.20%,
31/3/2019,17,58,1833,,,82.20%,
1/4/2019,63,139,1861,,,82.20%,
2/4/2019,35,81,1844,,,82.20%,
3/4/2019,52,113,1799,,,82.20%,
4/4/2019,27,65,1729,,,86.20%,
5/4/2019,28,80,1701,,,86.20%,
6/4/2019,6,51,1686,,,86.20%,
7/4/2019,13,65,1694,,,86.20%,
8/4/2019,55,125,1718,,,86.20%,
9/4/2019,67,139,1773,,,86.20%,
10/4/2019,95,154,1773,,,86.20%,
11/4/2019,59,120,1776,,,86.20%,
12/4/2019,64,138,1765,,,82.5,
13/4/2019,23,76,1757,,,82.5,
14/4/2019,12,55,1737,,,82.5,
15/4/2019,13,69,1684,,,82.5,
16/4/2019,11,81,1622,,,82.5,
17/4/2019,27,44,1561,,,82.5,
18/4/2019,32,81,1561,,,82.5,
19/4/2019,10,51,1530,,,89.7,
20/4/2019,10,32,1495,,,89.7,
21/4/2019,8,33,1474,,,89.7,
22/4/2019,14,63,1418,,,89.7,
23/4/2019,15,61,1360,,,89.7,
24/4/2019,30,83,1312,,,89.7,
25/4/2019,58,107,1306,,,89.7,
26/4/2019,45,92,1265,,,79.1,
27/4/2019,9,41,1245,,,79.1,
28/4/2019,27,59,1257,,,79.1,
29/4/2019,147,194,1342,426,1650,79.1,
30/4/2019,61,143,1363,,,79.1,
1/5/2019,117,189,1426,851,1536,79.1,
2/5/2019,46,105,1445,1619,1520,79.1,
3/5/2019,98,169,1516,,,85.5,
4/5/2019,8,49,1509,,,85.5,
5/5/2019,6,39,1503,,,85.5,
6/5/2019,19,54,1465,863,1252,85.5,
7/5/2019,40,105,1443,714,1200,85.5,
8/5/2019,25,76,1381,,,85.5,
9/5/2019,22,70,1344,716,1134,85.5,
10/5/2019,54,101,1325,,,85.8,
11/5/2019,26,72,1332,,,85.8,
12/5/2019,8,37,1320,169,999,85.8,
13/5/2019,15,71,1320,950,988,85.8,
14/5/2019,11,54,1296,1084,974,85.8,
15/5/2019,29,81,1320,1332,983,85.8,
16/5/2019,19,64,1306,3072,1039,85.8,
17/5/2019,26,83,1322,,,85.9,
18/5/2019,4,41,1317,,,85.9,
19/5/2019,6,38,1317,2354,1041,85.9,
20/5/2019,14,51,1313,2233,1076,85.9,
21/5/2019,30,71,1324,848,1082,85.9,
22/5/2019,30,78,1320,1206,1062,85.9,
23/5/2019,26,70,1292,1188,1036,85.9,
24/5/2019,50,90,1299,2166,1038,86.3,
25/5/2019,6,41,1300,2166,1038,86.3,
26/5/2019,6,47,1296,2166,1038,86.3,
27/5/2019,18,50,1224,2166,1038,86.3,
28/5/2019,22,55,1187,2048,1083,86.3,
29/5/2019,31,70,1113,,,86.3,
30/5/2019,34,81,1098,1987,1235,86.3,
31/5/2019,32,71,1028,,,84.9,
1/6/2019,8,40,1019,,,84.9,
2/6/2019,11,47,1023,168,1235,84.9,
3/6/2019,33,67,1037,1085,1257,84.9,
4/6/2019,20,54,1012,2553,1317,84.9,
5/6/2019,26,69,1014,863,1252,84.9,
6/6/2019,59,107,1039,1204,1344,84.9,
7/6/2019,42,82,1024,434,1174,85.8,
8/6/2019,13,40,1011,434,1174,85.8,
9/6/2019,6,34,1001,434,1174,85.8,
10/6/2019,34,77,1006,,,85.8,
11/6/2019,404,456,1396,,,85.8,
12/6/2019,224,322,1594,,,85.8,
13/6/2019,47,139,1624,1022,1165,85.8,
14/6/2019,33,103,1623,,,86.2,
15/6/2019,19,62,1634,,,86.2,
16/6/2019,11,69,1639,150,984,86.2,
17/6/2019,66,117,1686,357,938,86.2,
18/6/2019,39,112,1699,,,86.2,
19/6/2019,72,151,1738,400,839,86.2,
20/6/2019,73,125,1782,425,822,86.2,
21/6/2019,53,103,1788,208,780,85.8,
22/6/2019,13,57,1789,208,780,85.8,
23/6/2019,9,59,1776,208,780,85.8,
24/6/2019,18,78,1774,,,85.8,
25/6/2019,32,100,1796,422,721,85.8,
26/6/2019,16,80,1786,347,687,85.8,
27/6/2019,20,69,1768,,,85.8,
28/6/2019,29,80,1758,618,574,85.9,
29/6/2019,10,46,1749,618,574,85.9,
30/6/2019,7,48,1740,618,574,85.9,
1/7/2019,30,80,1736,618,574,85.9,
2/7/2019,26,74,1744,743,584,85.9,
3/7/2019,34,82,1754,,,85.9,
4/7/2019,34,94,1726,1432,585,85.9,
5/7/2019,17,69,1703,156,560,85.8,
6/7/2019,7,37,1696,156,560,85.8,
7/7/2019,8,45,1693,156,560,85.8,
8/7/2019,19,68,1683,790,543,85.8,
9/7/2019,21,75,1437,,,85.8,
10/7/2019,23,64,1283,617,524,85.8,
11/7/2019,43,90,1260,,,85.8,
12/7/2019,40,86,1253,844,558,86.2,
13/7/2019,9,35,1240,844,558,86.2,
14/7/2019,5,59,1237,844,558,86.2,
15/7/2019,22,74,1201,,,86.2,
16/7/2019,72,128,1231,544,571,86.2,
17/7/2019,26,72,1182,,,86.2,
18/7/2019,37,93,1162,471,593,86.2,
19/7/2019,40,97,1151,137,591,86.8,
20/7/2019,8,61,1138,137,591,86.8,
21/7/2019,12,58,1138,137,591,86.8,
22/7/2019,17,71,1139,,,86.8,
23/7/2019,21,63,1126,480,598,86.6,
24/7/2019,23,73,1129,,,86.6,
25/7/2019,39,87,1149,,,86.6,
26/7/2019,30,69,1153,,,86.6,
27/7/2019,9,37,1157,,,87.5,
28/7/2019,12,44,1154,,,87.5,
29/7/2019,19,60,1146,,,87.5,
30/7/2019,37,69,1158,,,87.5,
